date;N10D;GPRD;GPRD_ACT;GPRD_THREAT
05.10.1986;548;114.85;84.37;150.79
06.10.1986;369;125.68;53.70;179.15
07.10.1986;399;132.83;82.77;193.30
08.10.1986;421;39.34;62.75;26.17
09.10.1986;503;72.44;65.65;76.67
10.10.1986;437;83.38;60.46;126.06
11.10.1986;325;71.35;40.64;84.75
12.10.1986;499;79.66;79.42;77.28
13.10.1986;370;125.34;160.66;74.45
14.10.1986;377;149.37;70.08;189.97
15.10.1986;436;68.38;45.45;88.45
16.10.1986;483;96.02;41.02;125.46
17.10.1986;443;104.69;134.18;99.49
18.10.1986;320;62.11;61.92;51.65
